episode_id,description
E0,"Interview with ML Hero Series: https://medium.com/p/bfaaf38df219

http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every Sunday, Thursday available as Video, Podcast, and blogpost.

Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E1,"In the first Episode, Sanyam Bhutani interviews Kaggle Triple Grandmaster: Abhishek Thakur. They talk about Abhishek's journey into Data Science and Kaggle; his Kaggle Experience and current projects. 

Interview with Machine Learning Hero Series: https://medium.com/dsnet/interviews-with-machine-learning-heroes-ad9358385278 

Follow:
Abhishek Thakur: https://www.kaggle.com/abhishek
https://www.linkedin.com/in/abhisvnit/
https://twitter.com/abhi1thakur

Sanyam Bhutani: https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every Sunday, Thursday available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E2,"Audio Version Available here: https://anchor.fm/chaitimedatascience

In this Episode, Sanyam Bhutani interviews Kaggle Competition Master: Ryan Chesler. They talk about Ryan's journey into Data Science and Kaggle; his Kaggle Experience and current projects as well as his solution to the Jigsaw Unintended Bias in Toxicity Classification Kaggle Competition

Interview with Machine Learning Hero Series: https://medium.com/dsnet/interviews-with-machine-learning-heroes-ad9358385278 

Follow:
Ryan Chesler: https://www.kaggle.com/ryches
https://www.linkedin.com/in/ryan-chesler/
https://twitter.com/ryan_chesler

Sanyam Bhutani: https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every Sunday, Thursday available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E3,"Audio Version available here: https://anchor.fm/chaitimedatascience

We're super excited to share this amazing interview with the CEO of SharpestMinds, a startup from the Y Combinator batch of W '18: Edouard Harris. 

In this episode, Sanyam Bhutani interviews Edouard Harris about their company, Ed's journey into Data Science and they talk many great things about jobs in the Data Science/Machine Learning Landscape. 

Follow:
Edouard Harris:
https://twitter.com/neutronsNeurons
https://www.linkedin.com/in/e10is/?originalSubdomain=ca
https://medium.com/@edouard_harris

Sharpest Minds: https://www.sharpestminds.com/

Jeremie Harris:
https://twitter.com/jeremiecharris?lang=en
https://towardsdatascience.com/@jeremie_sharpestminds

Russell Pollari:
https://twitter.com/russ_poll
https://russellpollari.com/
https://www.linkedin.com/in/russell-pollari-b555895a/?originalSubdomain=ca

Sanyam Bhutani: https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every Sunday, Thursday available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E4,"In this Conversation, Sanyam Bhutani interviews Shivam Bansal about his recent Kaggle Competition Winning Solution for the: Data Science for Good: City of Los Angeles Competition. 

The complete interview will be released on the 8th of August, Stay Tuned!

Competition Link: https://www.kaggle.com/c/data-science-for-good-city-of-los-angeles

Solution: https://www.kaggle.com/shivamb/1-bulletin-structuring-engine-cola


Follow:
Shivam Bansal:
https://twitter.com/shivamshaz
https://www.linkedin.com/in/shivambansal1/
http://www.shivambansal.com/

Sanyam Bhutani: https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E5,"Audio (Podcast) Version available here: https://anchor.fm/chaitimedatascience/episodes/Deep-Learning-Research--Hardware--Kaggle--Interview-with-Tim-Dettmers-e4qcad/a-ak0hr6

This has been one of the most enlightening conversations for us about Deep Learning Research.
In this Interview, Sanyam Bhutani interviews Tim Dettmers, a Ph.D. student at the University of Washington. They talk about Deep Learning Research, Pipelines for Research, Sparse Networks from Scratch: Faster training without Losing Performance paper by Tim. They also talk about Hardware, Tim's Kaggle. 

Follow:
Tim Dettmers:
https://twitter.com/Tim_Dettmers
https://timdettmers.com/

Sanyam Bhutani: 
https://twitter.com/bhutanisanyam1
medium.com/@init_27

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E6,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience

In this episode, Sanyam Bhutani interviews Shivam Bansal, Kaggle Kernels GM ranked in the Top 4 of the tier. They talk about his journey into Data Science, Kaggle, the solution to his recent competition win: Data Science for Good: City of LA Comp. Shivam also shares his pipeline and motivation behind writing kernels. 

Competition Link: https://www.kaggle.com/c/data-science-for-good-city-of-los-angeles

Solution: https://www.kaggle.com/shivamb/1-bulletin-structuring-engine-cola


Follow:
Shivam Bansal:
https://twitter.com/shivamshaz
https://www.linkedin.com/in/shivambansal1/
http://www.shivambansal.com/

Sanyam Bhutani: https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E7,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience

In this episode, Sanyam Bhutani interviews the king of kaggle kernels, Grandmaster Andrew Lukyanenko Ranked #1 about his journey into Data Science, Kaggle. They also talk about his pipeline for writing kernels. 

Follow:
Andrew Lukyaneko
https://twitter.com/AndLukyane
https://www.linkedin.com/in/andlukyane/
https://www.kaggle.com/artgor

Sanyam Bhutani: 
https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E8,"Subscribe to my newsletter here: https://tinyletter.com/sanyambhutani/
Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience

https://towardsdatascience.com/diving-into-dali-1c30c28731c0

In this episode, Sanyam Bhutani interviews James Dellinger about his experiments with the DALI library by NVIDIA.

They talk about performance, convenience, and comparisons of the frameworks against others.

Follow:
James Dellinger:
https://twitter.com/jamrdell
https://www.linkedin.com/in/jamdell/
https://medium.com/@jamesdell

Sanyam Bhutani: 
https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E9,"Subscribe to my newsletter here: https://tinyletter.com/sanyambhutani/
Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience

Previous Blog Interview: https://medium.com/dsnet/interview-with-kaggle-grandmaster-senior-cv-engineer-at-lyft-dr-vladimir-i-iglovikov-9938e1fc7c

Albumentations Framework: https://github.com/albu/albumentations
Albumentations is a fast image augmentation library and easy to use wrapper around other libraries by Alexander Buslaev, Alex Parinov, Vladimir I. Iglovikov, Evegene Khvedchenya.

In this Episode, Sanyam Bhutani interviews Dr. Vladimir Iglovikov for the second time. They talk about albumentations, image augmentations and contributing to open source. 

Follow:
Dr. Vladimir Iglovikov
https://twitter.com/viglovikov
https://www.linkedin.com/in/iglovikov/
https://www.kaggle.com/iglovikov

Sanyam Bhutani: 
https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
